"","Site","Zone","Management","ID","Diam_Holdfast","TW_sum","LT","Structure","Weight_Str","porc_TW","FW","DW","High_Holdfast","Stipes","First_bif","Diam_stipes","LT_stipes","Dichot_stipes","ID_IRMS","peso_mg","mg_N2","ug_N2","X15N","mg_C","ug_C","X13C","porc_N","porc_C","C_N"
"208","Chanaral OA","North-Center","OA",2,22,6863,207,"Holdfast",728,10.6076060032056,1.2931,0.2888,"16","NA","NA","NA","NA","NA",1149,1.414,0.026,25.521,13.002,0.481,480.591,-22.107,1.805,33.988,18.831
"209","Chanaral OA","North-Center","OA",2,22,6863,207,"Stipes",1880,27.3932682500364,1.2118,0.3606,"NA","1","5","54.3","93","93",1176,1.579,0.025,25.445,11.433,0.515,515.457,-22.118,1.611,32.645,20.257
"210","Chanaral OA","North-Center","OA",2,22,6863,207,"Blades",4255,61.999125746758,0.8112,0.1185,"NA","NA","NA","NA","NA","NA",1127,1.35,0.024,23.651,11.531,0.362,361.909,-19.207,1.752,26.808,15.302
"211","Chanaral OA","North-Center","OA",3,28,7932,170,"Holdfast",1092,13.767019667171,3.1731,0.8126,"17","NA","NA","NA","NA","NA",1150,1.25,0.026,25.631,11.15,0.432,432.066,-22.487,2.05,34.565,16.857
"212","Chanaral OA","North-Center","OA",3,28,7932,170,"Stipes",1635,20.6127080181543,2.3545,0.6861,"NA","3","13","37.56666667","93.66666667","93.66666667",1177,1.195,0.027,26.504,10.615,0.39,389.537,-22.743,2.218,32.597,14.698
"213","Chanaral OA","North-Center","OA",3,28,7932,170,"Blades",5205,65.6202723146747,0.7972,0.1308,"NA","NA","NA","NA","NA","NA",1128,1.209,0.022,21.505,10.375,0.346,346.117,-24.728,1.779,28.628,16.095
"214","Chanaral OA","North-Center","OA",4,20,3973,222,"Holdfast",913,22.9801157815253,3.6326,0.9217,"25","NA","NA","NA","NA","NA",1151,1.202,0.019,19.089,11.82,0.403,403.287,-24.37,1.588,33.551,21.127
"215","Chanaral OA","North-Center","OA",4,20,3973,222,"Stipes",2045,51.4724389630003,3.9891,0.9169,"NA","1","46","42.9","170","170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Chanaral OA","North-Center","OA",4,20,3973,222,"Blades",1015,25.5474452554745,0.975,0.1508,"NA","NA","NA","NA","NA","NA",1129,1.364,0.029,28.919,10.623,0.441,440.994,-23.352,2.12,32.331,15.249
"217","Chanaral OA","North-Center","OA",5,18,5002,170,"Holdfast",772,15.4338264694122,1.9848,0.5406,"22","NA","NA","NA","NA","NA",1152,1.206,0.027,27.391,11.621,0.422,422.125,-22.101,2.271,35.002,15.411
"218","Chanaral OA","North-Center","OA",5,18,5002,170,"Stipes",1285,25.6897241103559,2.2555,0.5928,"NA","4","25.33333333","29.7","91.33333333","91.33333333",1179,1.173,0.043,43.143,9.463,0.74,739.727,-22.305,3.678,63.063,17.146
"219","Chanaral OA","North-Center","OA",5,18,5002,170,"Blades",2945,58.8764494202319,0.8514,0.1458,"NA","NA","NA","NA","NA","NA",1130,1.21,0.028,27.943,10.146,0.417,417.021,-25.199,2.309,34.465,14.924
"220","Chanaral OA","North-Center","OA",6,24,4680,195,"Holdfast",935,19.9786324786325,1.4678,0.2894,"21","NA","NA","NA","NA","NA",1153,1.311,0.021,21.204,12.968,0.426,425.813,-22.041,1.617,32.48,20.082
"221","Chanaral OA","North-Center","OA",6,24,4680,195,"Stipes",2200,47.008547008547,1.9334,0.5009,"NA","1","9","48.3","124","124",1180,1.417,0.027,26.988,9.514,0.439,439.246,-24.078,1.905,30.998,16.275
"222","Chanaral OA","North-Center","OA",6,24,4680,195,"Blades",1545,33.0128205128205,0.6737,0.1069,"NA","NA","NA","NA","NA","NA",1131,1.365,0.023,23.178,10.404,0.364,363.643,-23.319,1.698,26.641,15.689
"223","Chanaral OA","North-Center","OA",7,22,750,100,"Holdfast",178,23.7333333333333,1.1221,0.2506,"11","NA","NA","NA","NA","NA",1154,1.159,0.016,16.015,12.314,0.362,361.534,-24.297,1.382,31.194,22.575
"224","Chanaral OA","North-Center","OA",7,22,750,100,"Stipes",285,38,1.1283,0.1507,"NA","11","3.333333333","22.1","29.66666667","29.66666667",1181,1.39,0.022,22.06,9.108,0.389,388.818,-24.551,1.587,27.972,17.626
"225","Chanaral OA","North-Center","OA",7,22,750,100,"Blades",287,38.2666666666667,0.9347,0.1206,"NA","NA","NA","NA","NA","NA",1132,1.205,0.023,22.971,11.06,0.328,327.817,-22.839,1.906,27.205,14.271
"226","Chanaral OA","North-Center","OA",8,20,3368,174,"Holdfast",659,19.5665083135392,2.0579,0.5541,"24","NA","NA","NA","NA","NA",1155,1.156,0.022,21.537,12.188,0.377,376.609,-22.221,1.863,32.579,17.487
"227","Chanaral OA","North-Center","OA",8,20,3368,174,"Stipes",1995,59.2339667458432,2.6373,0.7953,"NA","2","32","39.75","133.5","133.5",1182,1.412,0.024,23.518,8.979,0.433,433.425,-24.132,1.666,30.696,18.43
"228","Chanaral OA","North-Center","OA",8,20,3368,174,"Blades",714,21.1995249406176,0.8479,0.1831,"NA","NA","NA","NA","NA","NA",1133,1.255,0.027,27.381,10.055,0.439,439.28,-23.475,2.182,35.002,16.043
"229","Chanaral OA","North-Center","OA",9,20,2603,130,"Holdfast",757,29.0818286592393,1.0712,0.2228,"18","NA","NA","NA","NA","NA",1156,1.164,0.017,16.899,11.344,0.365,365.257,-22.177,1.452,31.379,21.614
"230","Chanaral OA","North-Center","OA",9,20,2603,130,"Stipes",749,28.7744909719554,0.8158,0.186,"NA","13","2.833333333","27.16666667","36.33333333","36.33333333",1183,1.272,0.021,20.544,10.178,0.4,399.871,-23.251,1.615,31.436,19.465
"231","Chanaral OA","North-Center","OA",9,20,2603,130,"Blades",1097,42.1436803688052,0.775,0.1383,"NA","NA","NA","NA","NA","NA",1134,1.113,0.023,22.906,10.569,0.364,363.556,-21.449,2.058,32.664,15.872
"232","Chanaral OA","North-Center","OA",10,12,828,108,"Holdfast",125,15.0966183574879,2.0015,0.4394,"7","NA","NA","NA","NA","NA",1157,1.328,0.025,25.173,10.37,0.43,429.858,-19.84,1.896,32.369,17.076
"233","Chanaral OA","North-Center","OA",10,12,828,108,"Stipes",163,19.6859903381643,1.8649,0.3864,"NA","4","2","18.5","28.33333333","28.33333333",1184,1.34,0.023,22.715,10.716,0.415,415.26,-21.983,1.695,30.99,18.281
